,Alloy composition,,,,,,,,,,,,,,Heat Treatment,,,,,,Microstructure and Phases,,Allot Discription ,,
Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,"The alloy Al0.5NbTaTiV , is having 5 elemental composition and without heat treatment it is showing BCC microstructure and BCC_SS Phases",,References
Al0.5NbTaTiV,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0.222222222,,,,,,,BCC,BCC_SS,,,10.1016/j.proeng.2012.03.043
Al0.75MoNbTiV,0.157894737,0,0,0,0,0,0,0.210526316,0.210526316,0.210526316,0.210526316,0,0,0,,,,,,,BCC,BCC_SS,,,10.3390/e16020870
Al0.25MoNbTiV,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0.235294118,0.235294118,0,0,0,,,,,,,BCC,BCC_SS,,,10.3390/e16020870
Al0.25NbTaTiV,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0.235294118,0,0,0,0.235294118,,,,,,,BCC,BCC_SS,,,10.1016/j.proeng.2012.03.043
Al0.2MoTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0,0.238095238,0,0,0.238095238,,,,,,,BCC,BCC_SS,,,10.4028/www.scientific.net/MSF.898.638
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,1400,120,1400,1440,10°C/min,,BCC,BCC_SS,"The alloy Al0.3NbTa0.8Ti1.4V0.2Zr1.3, having 6 elemental composition, having ",,10.1007/s11837-014-1066-0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,1400,120,1400,1440,10°C/min,,BCC,BCC_SS,,,10.1007/s11837-014-1066-0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,1400,120,1400,1440,10°C/min,,BCC,BCC_SS,,,10.1007/s11837-014-1066-0
Al0.5CrNbTi2V0.5,0.1,0,0.2,0,0,0,0,0.4,0.1,0.2,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matlet.2016.11.030
Al0.5MoNbTiV,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,,,,,,,BCC,BCC_SS,,,10.3390/e16020870
Al0.6MoTaTiV,0.130434783,0,0,0,0,0,0,0,0.217391304,0.217391304,0.217391304,0,0,0.217391304,,,,,,,BCC,BCC_SS,,,10.4028/www.scientific.net/MSF.898.638
Al1.5MoNbTiV,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,,,,,,,BCC,BCC_SS,,,10.3390/e16020870
AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,1200,1440,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2015.08.224
AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,1200,1440,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2015.08.224
AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,1200,1440,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2015.08.224
AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,1200,1440,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2015.08.224
AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,,,1300,1200,,,FCC,FCC_SS,,,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,,,1300,1200,,,FCC,FCC_SS,,,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,,,1300,1200,,,FCC,FCC_SS,,,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,,,1300,1200,,,FCC,FCC_SS,,,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,,,1300,1200,,,FCC,FCC_SS,,,10.1016/j.jallcom.2015.11.050
AlMoNbTiV,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,,,,,,,BCC,BCC_SS,,,10.3390/e16020870
MoTaTiV,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.4028/www.scientific.net/MSF.898.638
AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,1200,120,1200,1440,10°C/min,,BCC,BCC_SS,,,10.1007/s11837-014-1066-0
AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,1200,120,1200,1440,10°C/min,,BCC,BCC_SS,,,10.1007/s11837-014-1066-0
AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,1200,120,1200,1440,10°C/min,,BCC,BCC_SS,,,10.1007/s11837-014-1066-0
AlNbTaTiV,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.proeng.2012.03.043
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,,,10.1080/14786435.2015.1028506
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,,,10.1080/14786435.2015.1028506
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,,,10.1080/14786435.2015.1028506
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,,,10.1080/14786435.2015.1028506
Hf0.5Mo0.5NbTiZr,0,0,0,0,0,0,0,0.25,0,0.25,0.125,0.25,0.125,0,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2015.09.011
Hf0.5Mo0.5NbTiZr,0,0,0,0,0,0,0,0.25,0,0.25,0.125,0.25,0.125,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2015.11.091
Hf0.5Nb0.5Ta0.5Ti1.5Zr,0,0,0,0,0,0,0,0.375,0,0.125,0,0.25,0.125,0.125,,,,,,,BCC,BCC_SS,,,10.1063/1.4966659
Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,,,1000,60,,,BCC,BCC_SS,,,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2017.10.073
