Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,alloy_description,Unnamed: 24,References
Al0.5NbTaTiV,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.0,0.0,0.0,0.222222222,,,,,,,BCC,BCC_SS,"The alloy Al0.5NbTaTiV contains 5 elemental compositions: Al (0.111111111), Ti (0.222222222), V (0.222222222), Nb (0.222222222), Ta (0.222222222) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.proeng.2012.03.043
Al0.75MoNbTiV,0.157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.210526316,0.210526316,0.210526316,0.210526316,0.0,0.0,0.0,,,,,,,BCC,BCC_SS,"The alloy Al0.75MoNbTiV contains 5 elemental compositions: Al (0.157894737), Ti (0.210526316), V (0.210526316), Nb (0.210526316), Mo (0.210526316) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.3390/e16020870
Al0.25MoNbTiV,0.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.235294118,0.235294118,0.235294118,0.235294118,0.0,0.0,0.0,,,,,,,BCC,BCC_SS,"The alloy Al0.25MoNbTiV contains 5 elemental compositions: Al (0.058823529), Ti (0.235294118), V (0.235294118), Nb (0.235294118), Mo (0.235294118) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.3390/e16020870
Al0.25NbTaTiV,0.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.235294118,0.235294118,0.235294118,0.0,0.0,0.0,0.235294118,,,,,,,BCC,BCC_SS,"The alloy Al0.25NbTaTiV contains 5 elemental compositions: Al (0.058823529), Ti (0.235294118), V (0.235294118), Nb (0.235294118), Ta (0.235294118) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.proeng.2012.03.043
Al0.2MoTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.0,0.238095238,0.0,0.0,0.238095238,,,,,,,BCC,BCC_SS,"The alloy Al0.2MoTaTiV contains 5 elemental compositions: Al (0.047619048), Ti (0.238095238), V (0.238095238), Mo (0.238095238), Ta (0.238095238) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.4028/www.scientific.net/MSF.898.638
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.2,0.0,0.26,0.0,0.16,1400.0,120.0,1400,1440.0,10°C/min,,BCC,BCC_SS,"The alloy Al0.3NbTa0.8Ti1.4V0.2Zr1.3 contains 6 elemental compositions: Al (0.06), Ti (0.28), V (0.04), Nb (0.2), Zr (0.26), Ta (0.16) and with heat treatment -  undergone homogenization process at 1400.0°C, for 120.0 minutes,, undergone annealing process at 1400°C, for 1440.0 minutes,, and undergone quenching process (10°C/min),,showing a BCC microstructure and BCC_SS phases.",,10.1007/s11837-014-1066-0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.2,0.0,0.26,0.0,0.16,1400.0,120.0,1400,1440.0,10°C/min,,BCC,BCC_SS,"The alloy Al0.3NbTa0.8Ti1.4V0.2Zr1.3 contains 6 elemental compositions: Al (0.06), Ti (0.28), V (0.04), Nb (0.2), Zr (0.26), Ta (0.16) and with heat treatment -  undergone homogenization process at 1400.0°C, for 120.0 minutes,, undergone annealing process at 1400°C, for 1440.0 minutes,, and undergone quenching process (10°C/min),,showing a BCC microstructure and BCC_SS phases.",,10.1007/s11837-014-1066-0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.2,0.0,0.26,0.0,0.16,1400.0,120.0,1400,1440.0,10°C/min,,BCC,BCC_SS,"The alloy Al0.3NbTa0.8Ti1.4V0.2Zr1.3 contains 6 elemental compositions: Al (0.06), Ti (0.28), V (0.04), Nb (0.2), Zr (0.26), Ta (0.16) and with heat treatment -  undergone homogenization process at 1400.0°C, for 120.0 minutes,, undergone annealing process at 1400°C, for 1440.0 minutes,, and undergone quenching process (10°C/min),,showing a BCC microstructure and BCC_SS phases.",,10.1007/s11837-014-1066-0
Al0.5CrNbTi2V0.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.1,0.2,0.0,0.0,0.0,0.0,,,,,,,BCC,BCC_SS,"The alloy Al0.5CrNbTi2V0.5 contains 5 elemental compositions: Al (0.1), Cr (0.2), Ti (0.4), V (0.1), Nb (0.2) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.matlet.2016.11.030
Al0.5MoNbTiV,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.222222222,0.0,0.0,0.0,,,,,,,BCC,BCC_SS,"The alloy Al0.5MoNbTiV contains 5 elemental compositions: Al (0.111111111), Ti (0.222222222), V (0.222222222), Nb (0.222222222), Mo (0.222222222) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.3390/e16020870
